City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
112,Susehri,TR,40.1644,38.0867,47.55,69,84,6.31,broken clouds,2021-04-04 23:16:02
113,Vazante,BR,-17.9869,-46.9078,72.52,75,64,2.01,heavy intensity rain,2021-04-04 23:11:15
114,Lebu,CL,-37.6167,-73.65,55.69,83,31,10.76,scattered clouds,2021-04-04 23:16:02
115,Tulagi,SB,-9.0996,160.1476,82.96,76,57,10.22,broken clouds,2021-04-04 23:16:02
116,Trinidad,BO,-14.8333,-64.9,80.6,89,75,3.47,broken clouds,2021-04-04 23:16:03
117,Lodeynoye Pole,RU,60.726,33.5531,34.56,90,100,11.32,overcast clouds,2021-04-04 23:16:03
118,Kingman,US,35.1894,-114.053,87.8,4,1,19.57,clear sky,2021-04-04 23:16:04
119,Hokitika,NZ,-42.7167,170.9667,64.6,83,55,10.45,broken clouds,2021-04-04 23:16:04
120,Barrow,US,71.2906,-156.7887,-2.2,65,1,14.97,clear sky,2021-04-04 23:15:41
121,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,12.66,scattered clouds,2021-04-04 23:16:05
122,Adilabad,IN,19.6667,78.5333,83.53,17,1,2.64,clear sky,2021-04-04 23:16:05
123,Fukue,JP,32.6881,128.8419,53.6,62,20,27.63,few clouds,2021-04-04 23:16:06
124,Yellowknife,CA,62.456,-114.3525,26.01,42,1,5.75,clear sky,2021-04-04 23:14:14
125,Ribeira Grande,PT,38.5167,-28.7,61.12,80,70,15.5,broken clouds,2021-04-04 23:16:06
126,Iqaluit,CA,63.7506,-68.5145,10.4,79,75,13.8,broken clouds,2021-04-04 23:16:04
127,Gizo,SB,-8.103,156.8419,84.33,71,89,5.97,light rain,2021-04-04 23:16:07
128,Constitucion,CL,-35.3333,-72.4167,55.67,90,11,5.08,few clouds,2021-04-04 23:16:07
129,Bronkhorstspruit,ZA,-25.8102,28.7425,57.99,94,0,4.43,clear sky,2021-04-04 23:16:07
